--- NAMED RANGES ---,,,
Z6,#VALUE!,,
AA6,#VALUE!,,
AB6,#VALUE!,,
AC6,#VALUE!,,
AD6,#VALUE!,,
AE6,#VALUE!,,
AF6,#VALUE!,,
AG6,#VALUE!,,
AH6,#VALUE!,,
AI6,#VALUE!,,
AJ6,#VALUE!,,
AK6,#VALUE!,,
AL6,#VALUE!,,
AM6,#VALUE!,,
AN6,#VALUE!,,
AO6,#VALUE!,,
AP6,#VALUE!,,
AQ6,,,
B7,#VALUE!,,
V7,#VALUE!,,
W7,#VALUE!,,
X7,#VALUE!,,
Y7,#VALUE!,,
Z7,#VALUE!,,
AA7,#VALUE!,,
AB7,#VALUE!,,
AC7,#VALUE!,,
AD7,#VALUE!,,
AE7,#VALUE!,,
AF7,#VALUE!,,
AG7,#VALUE!,,
AH7,#VALUE!,,
AI7,#VALUE!,,
AJ7,#VALUE!,,
AK7,#VALUE!,,
AL7,#VALUE!,,
AM7,#VALUE!,,
AN7,#VALUE!,,
AO7,#VALUE!,,
AP7,#VALUE!,,
AQ7,,,
B8,#VALUE!,,
V8,#VALUE!,,
W8,#VALUE!,,
X8,#VALUE!,,
Y8,#VALUE!,,
Z8,#VALUE!,,
AA8,#VALUE!,,
AB8,#VALUE!,,
AC8,#VALUE!,,
AD8,#VALUE!,,
AE8,#VALUE!,,
AF8,#VALUE!,,
AG8,#VALUE!,,
AH8,#VALUE!,,
AI8,#VALUE!,,
AJ8,#VALUE!,,
AK8,#VALUE!,,
AL8,#VALUE!,,
AM8,#VALUE!,,
AN8,#VALUE!,,
AO8,#VALUE!,,
AP8,#VALUE!,,
AQ8,,,
,,,
--- CURRENT STATION APPARATUS FORMULAS (first 5 rows) ---,,,
Cell,Formula,,
B1,2,,
C1,2,,
D1,2,,
E1,2,,
F1,2,,
G1,2,,
H1,2,,
I1,2,,
J1,2,,
K1,2,,
L1,2,,
M1,2,,
N1,2,,
O1,2,,
P1,2,,
Q1,2,,
R1,2,,
S1,2,,
T1,2,,
U1,2,,
V1,2,,
W1,2,,
X1,2,,
Y1,2,,
Z1,2,,
AA1,2,,
AB1,2,,
AC1,2,,
AD1,2,,
AE1,2,,
AF1,2,,
AG1,2,,
AH1,2,,
AI1,2,,
AJ1,2,,
AK1,2,,
AL1,2,,
AM1,2,,
AN1,2,,
AO1,2,,
AP1,2,,
AQ1,2,,
AR1,2,,
AS1,2,,
AT1,2,,
AU1,2,,
AV1,2,,
AW1,2,,
AX1,2,,
AY1,2,,
AZ1,2,,
BA1,2,,
BB1,2,,
BC1,2,,
BD1,2,,
BE1,2,,
BF1,2,,
BG1,2,,
BH1,2,,
BI1,2,,
BJ1,2,,
BK1,2,,
BL1,2,,
BM1,2,,
BN1,2,,
BO1,2,,
BP1,2,,
BQ1,2,,
BR1,2,,
BS1,2,,
BT1,2,,
BU1,2,,
BV1,2,,
BW1,2,,
BX1,2,,
BY1,2,,
BZ1,2,,
CA1,2,,
CB1,2,,
CC1,2,,
CD1,2,,
CE1,2,,
CF1,2,,
CG1,2,,
CH1,2,,
CI1,2,,
CJ1,2,,
CK1,2,,
CL1,2,,
B3,#NUM!,,
C3,#NUM!,,
D3,#NUM!,,
E3,#NUM!,,
F3,#NUM!,,
G3,#NUM!,,
H3,#NUM!,,
I3,#NUM!,,
J3,#NUM!,,
K3,#NUM!,,
L3,#NUM!,,
M3,#NUM!,,
N3,#NUM!,,
O3,#NUM!,,
P3,#NUM!,,
Q3,#NUM!,,
R3,#NUM!,,
S3,#NUM!,,
T3,#NUM!,,
U3,#NUM!,,
V3,#NUM!,,
W3,#NUM!,,
X3,#NUM!,,
Y3,#NUM!,,
Z3,#NUM!,,
AA3,#NUM!,,
AB3,#NUM!,,
AC3,#NUM!,,
AD3,#NUM!,,
AE3,#NUM!,,
AF3,#NUM!,,
AG3,#NUM!,,
AH3,#NUM!,,
AI3,#NUM!,,
AJ3,#NUM!,,
AK3,#NUM!,,
AL3,#NUM!,,
AM3,#NUM!,,
AN3,#NUM!,,
AO3,#NUM!,,
AP3,#NUM!,,
AQ3,#NUM!,,
AR3,#NUM!,,
AS3,#NUM!,,
AT3,#NUM!,,
AU3,#NUM!,,
AV3,#NUM!,,
AW3,#NUM!,,
AX3,#NUM!,,
AY3,#NUM!,,
AZ3,#NUM!,,
BA3,#NUM!,,
BB3,#NUM!,,
BC3,#NUM!,,
BD3,#NUM!,,
BE3,#NUM!,,
BF3,#NUM!,,
BG3,#NUM!,,
BH3,#NUM!,,
BI3,#NUM!,,
BJ3,#NUM!,,
BK3,#NUM!,,
BL3,#NUM!,,
BM3,#NUM!,,
BN3,#NUM!,,
BO3,#NUM!,,
BP3,#NUM!,,
BQ3,#NUM!,,
BR3,#NUM!,,
BS3,#NUM!,,
BT3,#NUM!,,
BU3,#NUM!,,
BV3,#NUM!,,
BW3,#NUM!,,
BX3,#NUM!,,
BY3,#NUM!,,
BZ3,#NUM!,,
CA3,#NUM!,,
CB3,#NUM!,,
CC3,#NUM!,,
CD3,#NUM!,,
CE3,#NUM!,,
CF3,#NUM!,,
CG3,#NUM!,,
CH3,#NUM!,,
CI3,#NUM!,,
CJ3,#NUM!,,
CK3,#NUM!,,
CL3,#NUM!,,
B4,#NUM!,,
C4,#NUM!,,
D4,#NUM!,,
E4,#NUM!,,
F4,#NUM!,,
G4,#NUM!,,
H4,#NUM!,,
I4,#NUM!,,
J4,#NUM!,,
K4,#NUM!,,
L4,#NUM!,,
M4,#NUM!,,
N4,#NUM!,,
O4,#NUM!,,
P4,#NUM!,,
Q4,#NUM!,,
R4,#NUM!,,
S4,#NUM!,,
T4,#NUM!,,
U4,#NUM!,,
V4,#NUM!,,
W4,#NUM!,,
X4,#NUM!,,
Y4,#NUM!,,
Z4,#NUM!,,
AA4,#NUM!,,
AB4,#NUM!,,
AC4,#NUM!,,
AD4,#NUM!,,
AE4,#NUM!,,
AF4,#NUM!,,
AG4,#NUM!,,
AH4,#NUM!,,
AI4,#NUM!,,
AJ4,#NUM!,,
AK4,#NUM!,,
AL4,#NUM!,,
AM4,#NUM!,,
AN4,#NUM!,,
AO4,#NUM!,,
AP4,#NUM!,,
AQ4,#NUM!,,
AR4,#NUM!,,
AS4,#NUM!,,
AT4,#NUM!,,
AU4,#NUM!,,
AV4,#NUM!,,
AW4,#NUM!,,
AX4,#NUM!,,
AY4,#NUM!,,
AZ4,#NUM!,,
BA4,#NUM!,,
BB4,#NUM!,,
BC4,#NUM!,,
BD4,#NUM!,,
BE4,#NUM!,,
BF4,#NUM!,,
BG4,#NUM!,,
BH4,#NUM!,,
BI4,#NUM!,,
BJ4,#NUM!,,
BK4,#NUM!,,
BL4,#NUM!,,
BM4,#NUM!,,
BN4,#NUM!,,
BO4,#NUM!,,
BP4,#NUM!,,
BQ4,#NUM!,,
BR4,#NUM!,,
BS4,#NUM!,,
BT4,#NUM!,,
BU4,#NUM!,,
BV4,#NUM!,,
BW4,#NUM!,,
BX4,#NUM!,,
BY4,#NUM!,,
BZ4,#NUM!,,
CA4,#NUM!,,
CB4,#NUM!,,
CC4,#NUM!,,
CD4,#NUM!,,
CE4,#NUM!,,
CF4,#NUM!,,
CG4,#NUM!,,
CH4,#NUM!,,
CI4,#NUM!,,
CJ4,#NUM!,,
CK4,#NUM!,,
CL4,#NUM!,,
B5,#NUM!,,
C5,#NUM!,,
D5,#NUM!,,
E5,#NUM!,,
F5,#NUM!,,
G5,#NUM!,,
H5,#NUM!,,
I5,#NUM!,,
J5,#NUM!,,
K5,#NUM!,,
L5,#NUM!,,
M5,#NUM!,,
N5,#NUM!,,
O5,#NUM!,,
P5,#NUM!,,
Q5,#NUM!,,
R5,#NUM!,,
S5,#NUM!,,
T5,#NUM!,,
U5,#NUM!,,
V5,#NUM!,,
W5,#NUM!,,
X5,#NUM!,,
Y5,#NUM!,,
Z5,#NUM!,,
AA5,#NUM!,,
AB5,#NUM!,,
AC5,#NUM!,,
AD5,#NUM!,,
AE5,#NUM!,,
AF5,#NUM!,,
AG5,#NUM!,,
AH5,#NUM!,,
AI5,#NUM!,,
AJ5,#NUM!,,
AK5,#NUM!,,
AL5,#NUM!,,
AM5,#NUM!,,
AN5,#NUM!,,
AO5,#NUM!,,
AP5,#NUM!,,
AQ5,#NUM!,,
AR5,#NUM!,,
AS5,#NUM!,,
AT5,#NUM!,,
AU5,#NUM!,,
AV5,#NUM!,,
AW5,#NUM!,,
AX5,#NUM!,,
AY5,#NUM!,,
AZ5,#NUM!,,
BA5,#NUM!,,
BB5,#NUM!,,
BC5,#NUM!,,
BD5,#NUM!,,
BE5,#NUM!,,
BF5,#NUM!,,
BG5,#NUM!,,
BH5,#NUM!,,
BI5,#NUM!,,
BJ5,#NUM!,,
BK5,#NUM!,,
BL5,#NUM!,,
BM5,#NUM!,,
BN5,#NUM!,,
BO5,#NUM!,,
BP5,#NUM!,,
BQ5,#NUM!,,
BR5,#NUM!,,
BS5,#NUM!,,
BT5,#NUM!,,
BU5,#NUM!,,
BV5,#NUM!,,
BW5,#NUM!,,
BX5,#NUM!,,
BY5,#NUM!,,
BZ5,#NUM!,,
CA5,#NUM!,,
CB5,#NUM!,,
CC5,#NUM!,,
CD5,#NUM!,,
CE5,#NUM!,,
CF5,#NUM!,,
CG5,#NUM!,,
CH5,#NUM!,,
CI5,#NUM!,,
CJ5,#NUM!,,
CK5,#NUM!,,
CL5,#NUM!,,
B6,#NUM!,,
C6,#NUM!,,
D6,#NUM!,,
E6,#NUM!,,
F6,#NUM!,,
G6,#NUM!,,
H6,#NUM!,,
I6,#NUM!,,
J6,#NUM!,,
K6,#NUM!,,
L6,#NUM!,,
M6,#NUM!,,
N6,#NUM!,,
O6,#NUM!,,
P6,#NUM!,,
Q6,#NUM!,,
R6,#NUM!,,
S6,#NUM!,,
T6,#NUM!,,
U6,#NUM!,,
V6,#NUM!,,
W6,#NUM!,,
X6,#NUM!,,
Y6,#NUM!,,
Z6,#NUM!,,
AA6,#NUM!,,
AB6,#NUM!,,
AC6,#NUM!,,
AD6,#NUM!,,
AE6,#NUM!,,
AF6,#NUM!,,
AG6,#NUM!,,
AH6,#NUM!,,
AI6,#NUM!,,
AJ6,#NUM!,,
AK6,#NUM!,,
AL6,#NUM!,,
AM6,#NUM!,,
AN6,#NUM!,,
AO6,#NUM!,,
AP6,#NUM!,,
AQ6,#NUM!,,
AR6,#NUM!,,
AS6,#NUM!,,
AT6,#NUM!,,
AU6,#NUM!,,
AV6,#NUM!,,
AW6,#NUM!,,
AX6,#NUM!,,
AY6,#NUM!,,
AZ6,#NUM!,,
BA6,#NUM!,,
BB6,#NUM!,,
BC6,#NUM!,,
BD6,#NUM!,,
BE6,#NUM!,,
BF6,#NUM!,,
BG6,#NUM!,,
BH6,#NUM!,,
BI6,#NUM!,,
BJ6,#NUM!,,
BK6,#NUM!,,
BL6,#NUM!,,
BM6,#NUM!,,
BN6,#NUM!,,
BO6,#NUM!,,
BP6,#NUM!,,
BQ6,#NUM!,,
BR6,#NUM!,,
BS6,#NUM!,,
BT6,#NUM!,,
BU6,#NUM!,,
BV6,#NUM!,,
BW6,#NUM!,,
BX6,#NUM!,,
BY6,#NUM!,,
BZ6,#NUM!,,
CA6,#NUM!,,
CB6,#NUM!,,
CC6,#NUM!,,
CD6,#NUM!,,
CE6,#NUM!,,
CF6,#NUM!,,
CG6,#NUM!,,
CH6,#NUM!,,
CI6,#NUM!,,
CJ6,#NUM!,,
CK6,#NUM!,,
CL6,#NUM!,,
,,,
--- OVERRIDE CORE APPARATUS FORMULAS ---,,,
Cell,Formula,,
D1,2,,
E1,2,,
F1,2,,
G1,2,,
H1,2,,
I1,2,,
J1,2,,
K1,2,,
L1,2,,
M1,2,,
N1,2,,
O1,2,,
P1,2,,
Q1,2,,
R1,2,,
S1,2,,
T1,2,,
U1,2,,
V1,2,,
W1,2,,
X1,2,,
Y1,2,,
Z1,2,,
AA1,2,,
AB1,2,,
AC1,2,,
AD1,2,,
AE1,2,,
AF1,2,,
AG1,2,,
AH1,2,,
AI1,2,,
AJ1,2,,
AK1,2,,
AL1,2,,
AM1,2,,
AN1,2,,
AO1,2,,
AP1,2,,
AQ1,2,,
AR1,2,,
AS1,2,,
AT1,2,,
AU1,2,,
AV1,2,,
AW1,2,,
AX1,2,,
AY1,2,,
AZ1,2,,
BA1,2,,
BB1,2,,
BC1,2,,
BD1,2,,
BE1,2,,
BF1,2,,
BG1,2,,
BH1,2,,
BI1,2,,
BJ1,2,,
BK1,2,,
BL1,2,,
BM1,2,,
BN1,2,,
BO1,2,,
BP1,2,,
BQ1,2,,
BR1,2,,
BS1,2,,
BT1,2,,
BU1,2,,
BV1,2,,
BW1,2,,
BX1,2,,
BY1,2,,
BZ1,2,,
CA1,2,,
CB1,2,,
CC1,2,,
CD1,2,,
CE1,2,,
CF1,2,,
CG1,2,,
CH1,2,,
CI1,2,,
CJ1,2,,
CK1,2,,
CL1,2,,
CM1,2,,
CN1,2,,
A2,"FS
(68/304)",,
A3,#VALUE!,,
B3,FALSE,,
CF3,#NUM!,,
CG3,#NUM!,,
CH3,#NUM!,,
CI3,#NUM!,,
CJ3,#NUM!,,
CK3,#NUM!,,
CL3,#NUM!,,
CM3,#NUM!,,
CN3,#NUM!,,
A4,#VALUE!,,
B4,FALSE,,
CF4,#NUM!,,
CG4,#NUM!,,
CH4,#NUM!,,
CI4,#NUM!,,
CJ4,#NUM!,,
CK4,#NUM!,,
CL4,#NUM!,,
CM4,#NUM!,,
CN4,#NUM!,,
A5,#VALUE!,,
B5,FALSE,,
CF5,#NUM!,,
CG5,#NUM!,,
CH5,#NUM!,,
CI5,#NUM!,,
CJ5,#NUM!,,
CK5,#NUM!,,
CL5,#NUM!,,
CM5,#NUM!,,
CN5,#NUM!,,
A6,#VALUE!,,
B6,FALSE,,
CF6,#NUM!,,
CG6,#NUM!,,
CH6,#NUM!,,
CI6,#NUM!,,
CJ6,#NUM!,,
CK6,#NUM!,,
CL6,#NUM!,,
CM6,#NUM!,,
CN6,#NUM!,,
A7,#VALUE!,,
B7,FALSE,,
CF7,#NUM!,,
CG7,#NUM!,,
CH7,#NUM!,,
CI7,#NUM!,,
CJ7,#NUM!,,
CK7,#NUM!,,
CL7,#NUM!,,
CM7,#NUM!,,
CN7,#NUM!,,
A8,#VALUE!,,
B8,FALSE,,
CF8,#NUM!,,
CG8,#NUM!,,
CH8,#NUM!,,
CI8,#NUM!,,
CJ8,#NUM!,,
CK8,#NUM!,,
CL8,#NUM!,,
CM8,#NUM!,,
CN8,#NUM!,,
A9,#VALUE!,,
B9,FALSE,,
CF9,#NUM!,,
CG9,#NUM!,,
CH9,#NUM!,,
CI9,#NUM!,,
CJ9,#NUM!,,
CK9,#NUM!,,
CL9,#NUM!,,
CM9,#NUM!,,
CN9,#NUM!,,
A10,#VALUE!,,
B10,FALSE,,
CF10,#NUM!,,
CG10,#NUM!,,
CH10,#NUM!,,
CI10,#NUM!,,
CJ10,#NUM!,,
CK10,#NUM!,,
CL10,#NUM!,,
CM10,#NUM!,,
CN10,#NUM!,,
A11,#VALUE!,,
B11,FALSE,,
CF11,#NUM!,,
CG11,#NUM!,,
CH11,#NUM!,,
CI11,#NUM!,,
CJ11,#NUM!,,
CK11,#NUM!,,
CL11,#NUM!,,
CM11,#NUM!,,
CN11,#NUM!,,
A12,#VALUE!,,
B12,FALSE,,
CF12,#NUM!,,
CG12,#NUM!,,
CH12,#NUM!,,
CI12,#NUM!,,
CJ12,#NUM!,,
CK12,#NUM!,,
CL12,#NUM!,,
CM12,#NUM!,,
CN12,#NUM!,,
A13,#VALUE!,,
B13,FALSE,,
CF13,#NUM!,,
CG13,#NUM!,,
CH13,#NUM!,,
CI13,#NUM!,,
CJ13,#NUM!,,
CK13,#NUM!,,
CL13,#NUM!,,
CM13,#NUM!,,
CN13,#NUM!,,
A14,#VALUE!,,
B14,FALSE,,
CF14,#NUM!,,
CG14,#NUM!,,
CH14,#NUM!,,
CI14,#NUM!,,
CJ14,#NUM!,,
CK14,#NUM!,,
CL14,#NUM!,,
CM14,#NUM!,,
CN14,#NUM!,,
,,,
--- NAMED FUNCTIONS ---,,,
NOTE: Google Sheets API cannot directly enumerate named functions.,,,
To export them: Data > Named functions > click each one > copy definition,,,
"Alternatively, check if any cells use named function calls:",,,
Possible custom/named functions found:,,,
Function Name,Used In Sheets,,
postal,Matrix 1,,
a,Matrix 1,,
GET_RESPONSE,Matrix 1,,
TO,Matrix 1,,
RUNNING_ORDER_ALM,Matrix 1,,
PULL_REC,Assignment,,
ASSIGN_UNITS,Assignment,,
ARRAY_CONSTRAIN,Assignment,,
RUN_ORDER_INDEX,RunningOrderFull,,
,,,
--- MATRIX 1 DATA VALIDATIONS ---,,,
Cell,Criteria Type,Values,
C3,VALUE_IN_RANGE,"[{},true]",
D6,VALUE_IN_RANGE,"[{},true]",
C9,VALUE_IN_RANGE,"[{},true]",
C10,VALUE_IN_RANGE,"[{},true]",
F10,VALUE_IN_RANGE,"[{},true]",
C22,VALUE_IN_RANGE,"[{},true]",
D25,VALUE_IN_RANGE,"[{},true]",
C28,VALUE_IN_RANGE,"[{},true]",
C29,VALUE_IN_RANGE,"[{},true]",
F29,VALUE_IN_RANGE,"[{},true]",